rating,reviewer_id,date,review_title,review_body
,Melanie,2025-11-04,,"I got this to go under a mattress. But i know I would not want this to be my mattress I lay on. Very thin, probably feel the springs. This was inexpensive, tho, not worth it . Spend a bit more on something you can actually sleep on."
,hmandgprty4u,2025-09-13,,Every movement felt the inner springs. Had to buy mattresses topper. Had I known that I would have purchased a different one. I would not recommend this mattress.
,Brenda,2025-11-01,,"I bought this mattress for my grandson , it is very thin and you can feel the springs in it , definitely would not ever buy this again or recommend this to anyone either!!!"
,timothy,2025-07-21,,"I bought 2 of these for my kids. The product works great, especially for the price. I will be buying these again once these 2 are ruined. Im sure ill get a few good years out of them first tho."
,Tasha,2026-02-04,,I was amazed for the price really good quality the stitching around the the mattress is done with double stitching. I feel like for heavier person purchase the mattress pad as well for extra padding.
,Niloofar,2026-02-01,,"Not firm at all it's medium to soft , I have return it. But returned process was very smooth and no hassle. Thanks Walmart for great customer service"
,Louise,2025-09-10,,"the person I bought it for says you can feel the springs. She doesn't weigh a hundred pounds. She is sleeping in a recliner instead. My advice is, don't waste your money on this."
,Janna,2025-07-31,,"For the price we paid, we were surprised at how comfortable the mattress was. We have a full bed with a really outdated mattress. We did not want to spend hundreds on a set when the bed is only slept on a couple times a year."
,WalmartCustomer,2025-06-05,,"My twin Mattress arrived well packaged, that was the only concern. I am glad that it was. The mattress fitted perfectly and I went to Walmart to buy a fitted sheet the next day. I saved money to boot. Thanks Walmart."
,Everie,2025-09-30,,"Not cheap and flimsy! Great buy, beautiful look, comfortable. In a temporary situation where I needed a twin size bed. It's really helping my lower back, feeling great getting it back on track!! Not bad at all for $60"
,Carolyn,2025-09-08,,"Finally a good firm supportive mattress. First descent sleep in a long time. Amazing how it comes shrink wrapped, then snaps right to full size. Better than I expected. Thank you !"
